,country
USA,619
UK,140
Canada,43
Australia,22
New Zealand,14
South Africa,13
India,10
Italy,7
Ireland,6
Nigeria,5
Belgium,5
Mexico,5
Greece,4
Ghana,4
Israel,4
France,4
Spain,4
Qatar,3
Germany,3
Chile,3
UAE,3
Singapore,3
Kenya,3
Philippines,3
Venezuela,3
Japan,3
Oman,2
Brazil,2
Netherlands,2
Switzerland,2
Finland,2
Malaysia,2
Saudi Arabia,2
Lebanon,2
Uganda,2
Puerto Rico,2
Rio Grande,1
Rwanda,1
Nepal,1
Jamaica,1
Dominican Republic,1
Indonesia,1
Ecuador,1
Nicaragua,1
Svalbard and Jan Mayen,1
Colombia,1
South Korea,1
Hong Kong,1
C̫te d'Ivoire,1
Guatemala,1
Argentina,1
Zimbabwe,1
Somalia,1
Poland,1
Austria,1
Fiji,1
Malta,1
Mongolia,1
Costa Rica,1
Peru,1
